,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
2502,Quilon,18,GEN,Kerala,B. K. Nair,Indian National Congress (I),661179,420586,63.6,36586,8.7,1980
2503,Rae Bareli,23,GEN,Uttar Pradesh [1947 - 1999],Indira Gandhi,Indian National Congress (I),699064,396214,56.7,173654,43.8,1980
2504,Raichur,3,GEN,Karnataka,B.V. Desai,Indian National Congress (I),679284,278149,41.0,129050,46.4,1980
2505,Raiganj,5,GEN,West Bengal,Golam Yazdani,Indian National Congress (I),693127,482483,69.6,1305,0.3,1980
2506,Raigarh,13,ST,Madhya Pradesh [1947 - 1999],Pushpa Devi Singh,Indian National Congress (I),586692,264122,45.0,81095,30.7,1980
2507,Raipur,17,GEN,Madhya Pradesh [1947 - 1999],Kayur Bhushan Mathura Prasad,Indian National Congress (I),581585,313917,54.0,66309,21.1,1980
2508,Rajahmundry,8,GEN,Andhra Pradesh,S.B.P.Pattabhi Rama Rao,Indian National Congress (I),756814,477868,63.1,118491,24.8,1980
2509,Rajampet,22,GEN,Andhra Pradesh,P. Parthasarathy,Indian National Congress (I),710540,367287,51.7,41401,11.3,1980
2510,Rajapur,1,ST,Maharashtra,Madhu Dandvate,Janta Party,585603,341009,58.2,145977,42.8,1980
2511,Rajgarh,32,GEN,Madhya Pradesh [1947 - 1999],Pandit Vasant Kumar Ram Krishna,Janta Party,636424,347929,54.7,32979,9.5,1980
2512,Rajkot,4,GEN,Gujarat,Mavani Ramjibhai Bhurabhai,Indian National Congress (I),706199,317779,45.0,53476,16.8,1980
2513,Rajmahal,26,ST,Bihar [1947 - 1999],Seth Hemrem,Indian National Congress (I),629351,227326,36.1,40190,17.7,1980
2514,Rajnandgaon,22,GEN,Madhya Pradesh [1947 - 1999],Shivendra Bahadur Singh,Indian National Congress (I),578740,286623,49.5,58496,20.4,1980
2515,Ramanathapuram,34,GEN,Tamil Nadu,Sathiyendran M.S.K.,Dravida Munetra Kazhagam,736600,494332,67.1,84133,17.0,1980
2516,Rampur,8,GEN,Uttar Pradesh [1947 - 1999],Zulfiqar Ali Khan,Indian National Congress (I),700181,386922,55.3,70408,18.2,1980
2517,Ramtek,22,ST,Maharashtra,Barve Jatiram Chaitram,Indian National Congress (I),650601,395366,60.8,214763,54.3,1980
2518,Ranchi,49,GEN,Bihar [1947 - 1999],Shiva Prasad Sahu,Indian National Congress (I),694669,282539,40.7,38126,13.5,1980
2519,Rasipuram,15,GEN,Tamil Nadu,Devarajan B.,Indian National Congress (I),734978,441588,60.1,59872,13.6,1980
2520,Ratnagiri,2,GEN,Maharashtra,Bapusaheb Parulekar,Janta Party,596427,378755,63.5,44161,11.7,1980
2521,Rewa,9,GEN,Madhya Pradesh [1947 - 1999],Maharaja Martand Singh,Independent,718673,411518,57.3,238351,57.9,1980
2522,Robertsganj,53,SC,Uttar Pradesh [1947 - 1999],Ram Pyare Panika,Indian National Congress (I),729419,359001,49.2,16002,4.5,1980
2523,Rohtak,5,GEN,Haryana,Inder Vesh,Janta Party (SECULAR),690015,430889,62.5,121440,28.2,1980
2524,Ropar,7,GEN,Punjab,Buta Singh,Indian National Congress (I),764571,529664,69.3,43018,8.1,1980
2525,Rosera,16,SC,Bihar [1947 - 1999],Baleshwar Ram,Indian National Congress (I),743904,468253,63.0,19395,4.1,1980
2526,Sabarkantha,15,GEN,Gujarat,Patel Shantubhai Cunibhai,Indian National Congress (I),638235,375347,58.8,79299,21.1,1980
2527,Sagar,5,SC,Madhya Pradesh [1947 - 1999],Sahodrabai Rai,Indian National Congress (I),596498,331566,55.6,71751,21.6,1980
2528,Saharanpur,84,GEN,Uttar Pradesh [1947 - 1999],Rasheed Masood,Janta Party (SECULAR),685488,422390,61.6,43676,10.3,1980
2529,Saharsa,20,GEN,Bihar [1947 - 1999],Kamal Nath Jha,Indian National Congress (I),803843,499103,62.1,1255,0.3,1980
2530,Saidpur,49,SC,Uttar Pradesh [1947 - 1999],Rajnath Sonkar Shastri,Janta Party (SECULAR),745675,378280,50.7,13983,3.7,1980
2531,Salem,16,GEN,Tamil Nadu,Palaniappan C.,Dravida Munetra Kazhagam,691389,470633,68.1,26258,5.6,1980
2532,Salempur,42,GEN,Uttar Pradesh [1947 - 1999],Ram Nagina Misra,Indian National Congress (I),760913,361561,47.5,15954,4.4,1980
2533,Salumber,17,GEN,Rajasthan,Jai Narain,Indian National Congress (I),622115,327082,52.6,77051,23.6,1980
2534,Samastipur,17,GEN,Bihar [1947 - 1999],Ajit Kumar Mehta,Janta Party (SECULAR),849825,475011,55.9,86524,18.2,1980
2535,Sambalpur,17,GEN,Orissa,Krupasindhu Bhoi,Indian National Congress (I),722224,340939,47.2,109233,32.0,1980
2536,Sambhal,9,GEN,Uttar Pradesh [1947 - 1999],Bijendra Pal Singh,Indian National Congress (I),626129,285626,45.6,15767,5.5,1980
2537,Sangli,46,GEN,Maharashtra,Patil Vasantrao Banduji,Indian National Congress (I),663222,434207,65.5,167645,38.6,1980
2538,Sangrur,10,GEN,Punjab,Gurcharan Singh,Indian National Congress (I),725096,491564,67.8,7615,1.5,1980
2539,Sarangarh,16,SC,Madhya Pradesh [1947 - 1999],Parasram Ram Prasad,Indian National Congress (I),669627,261588,39.1,104609,40.0,1980
2540,Sasaram,38,SC,Bihar [1947 - 1999],Jagjiwan Ram,Janta Party,751039,391165,52.1,51170,13.1,1980
2541,Satara,44,GEN,Maharashtra,Chavan Yashvantrao Balawantrao,Indian National Congress (U),659862,425436,64.5,53033,12.5,1980
2542,Satna,8,GEN,Madhya Pradesh [1947 - 1999],Gulsher Ahmed,Indian National Congress (I),660435,385797,58.4,52119,13.5,1980
2543,Sawai Madhopur,11,ST,Rajasthan,Ram Kumar,Indian National Congress (I),717760,352888,49.2,48131,13.6,1980
2544,Secunderabad,31,GEN,Andhra Pradesh,P. Shiv Shanker,Indian National Congress (I),845037,383890,45.4,28523,7.4,1980
2545,Seoni,26,GEN,Madhya Pradesh [1947 - 1999],Gargishaker Ramkrishna Mishra,Indian National Congress (I),610655,304864,49.9,62796,20.6,1980
2546,Serampore,26,GEN,West Bengal,Dinen Bhattacharya,Communist Party Of India (MARXIST),774081,501575,64.8,106107,21.2,1980
2547,Shahabad,16,GEN,Uttar Pradesh [1947 - 1999],Dharmgaj Singh,Indian National Congress (I),695196,319176,45.9,57496,18.0,1980
2548,Shahdol,11,ST,Madhya Pradesh [1947 - 1999],Dalbir Singh,Indian National Congress (I),636794,267659,42.0,56484,21.1,1980
2549,Shahjahanpur,14,GEN,Uttar Pradesh [1947 - 1999],Kr. Jatendra Prasad,Indian National Congress (I),685505,340314,49.6,6259,1.8,1980
2550,Shajapur,33,SC,Madhya Pradesh [1947 - 1999],Fulchand Verma,Janta Party,655806,416899,63.6,8361,2.0,1980
2551,Sheohar,12,GEN,Bihar [1947 - 1999],Ram Dulari Singh,Indian National Congress (I),790288,419552,53.1,51392,12.2,1980
2553,Shimoga,21,GEN,Karnataka,S.T. Quadri,Indian National Congress (I),697266,448457,64.3,151798,33.8,1980
2554,Sholapur,37,GEN,Maharashtra,Kuchan Gangadhar Sidramappa,Indian National Congress (I),601206,390707,65.0,104606,26.8,1980
2555,Siddipet,32,SC,Andhra Pradesh,Nandi Yellaiah,Indian National Congress (I),744000,327242,44.0,192532,58.8,1980
2556,Sidhi,10,ST,Madhya Pradesh [1947 - 1999],Moti Lal Singh,Indian National Congress (I),668510,271237,40.6,70685,26.1,1980
2557,Sikar,5,GEN,Rajasthan,Kumbha Ram Arya,Janta Party (SECULAR),775033,455942,58.8,34132,7.5,1980
2558,Sikkim,1,GEN,Sikkim,Pahal Man Subba,Sikkim Janata Parishad,118224,52895,44.7,20118,38.0,1980
2559,Silchar,2,GEN,Assam,Santosh Mohan Dev (Rana Dev),Indian National Congress (I),565048,376008,66.5,18606,4.9,1980
2560,Simla,1,GEN,Himachal Pradesh,Krishan Dutt,Indian National Congress (I),523977,272407,52.0,35134,12.9,1980
2561,Singhbhum,51,ST,Bihar [1947 - 1999],Bagun Sumbrui,Janta Party,574233,171427,29.9,16808,9.8,1980
2562,Sirsa,10,GEN,Haryana,Dalbir Singh,Indian National Congress (I),692956,423139,61.1,21501,5.1,1980
2563,Sitamarhi,11,GEN,Bihar [1947 - 1999],Baliram Bhagat,Indian National Congress (U),814886,471407,57.9,32249,6.8,1980
2564,Sitapur,17,GEN,Uttar Pradesh [1947 - 1999],Rajendra Kumari Bajpai,Indian National Congress (I),655631,295225,45.0,45697,15.5,1980
2565,Sivaganga,33,GEN,Tamil Nadu,Swaminathan R.V.,Indian National Congress (I),725576,514079,70.9,134561,26.2,1980
2566,Sivakasi,35,GEN,Tamil Nadu,Sourdararajan N.,All India Anna Dravida Munnetra Kazhagam,756211,517475,68.4,6612,1.3,1980
2567,Siwan,5,GEN,Bihar [1947 - 1999],M. Yusuf,Indian National Congress (I),719852,337998,47.0,15599,4.6,1980
2568,Sonepat,4,GEN,Haryana,Devi Lal,Janta Party (SECULAR),708973,475413,67.1,157791,33.2,1980
2569,South Delhi,2,GEN,Delhi [1977 Onwards],Charanjit Singh (West Friends Colony),Indian National Congress (I),504959,319353,63.2,4100,1.3,1980
2570,Srikakulam,1,GEN,Andhra Pradesh,Rajagopalarao Boddepalli,Indian National Congress (I),647603,411259,63.5,78989,19.2,1980
2572,Sriperumbudur,4,GEN,Tamil Nadu,Nagaratnam T.,Dravida Munetra Kazhagam,720766,451190,62.6,82777,18.3,1980
2573,Sultanpur,26,GEN,Uttar Pradesh [1947 - 1999],Giriraj Isngh,Indian National Congress (I),709769,303235,42.7,26081,8.6,1980
2574,Sundargarh,20,GEN,Orissa,Christopher Ekka,Indian National Congress (I),634386,265565,41.9,40951,15.4,1980
2575,Surat,24,GEN,Gujarat,Patel Chhaganbhai Devabhai,Indian National Congress (I),760862,474650,62.4,26661,5.6,1980
2576,Surendranagar,2,GEN,Gujarat,Digvijaysinh Pratapsinhg Zala,Indian National Congress (I),581146,348574,60.0,84516,24.2,1980
2577,Surguja,12,ST,Madhya Pradesh [1947 - 1999],Chakaradhari,Indian National Congress (I),594287,261154,43.9,62289,23.9,1980
2578,Tamluk,30,GEN,West Bengal,Misra Satyagopal,Communist Party Of India (MARXIST),689405,548787,79.6,123051,22.4,1980
2579,Tarn Taran,3,GEN,Punjab,Lehna Singh,Shiromani Akali Dal,744666,444281,59.7,5247,1.2,1980
2580,Tehri Garhwal,1,GEN,Uttar Pradesh [1947 - 1999],Trepan Singh Negi,Indian National Congress (I),598600,240521,40.2,40763,16.9,1980
2581,Tenali,14,GEN,Andhra Pradesh,Meduri Nageswara Rao,Indian National Congress (I),705166,449548,63.8,70350,15.6,1980
2582,Tenkasi,37,SC,Tamil Nadu,Arunachalam M.,Indian National Congress (I),679386,447818,65.9,108316,24.2,1980
2584,Thane,10,GEN,Maharashtra,Mhalgi Ramchandra Kashinath,Janta Party,889904,478845,53.8,10275,2.1,1980
2585,Thanjavur,31,GEN,Tamil Nadu,Singaravadivel S.,Indian National Congress (I),660633,512635,77.6,44539,8.7,1980
2586,Tindivanam,10,GEN,Tamil Nadu,Ramaswamy Padayatchi S.S.,Indian National Congress (I),717771,455048,63.4,156898,34.5,1980
2587,Tiruchendur,38,GEN,Tamil Nadu,Kosalram K. T.,Indian National Congress (I),704399,445880,63.3,113819,25.5,1980
2588,Tiruchengode,17,GEN,Tamil Nadu,Kandaswamy M.,Dravida Munetra Kazhagam,889296,547419,61.6,21218,3.9,1980
2589,Tiruchirappalli,27,SC,Tamil Nadu,Selvaraju N.,Dravida Munetra Kazhagam,722379,519651,71.9,73599,14.2,1980
2590,Tirunelveli,36,GEN,Tamil Nadu,Sivaprakasam D.S.A.,Dravida Munetra Kazhagam,702603,475645,67.7,59962,12.6,1980
2591,Tirupathi,20,SC,Andhra Pradesh,Pasala Penchalaiah,Indian National Congress (I),762941,359863,47.2,155306,43.2,1980
2592,Tiruppattur,8,GEN,Tamil Nadu,Murugian S.,Dravida Munetra Kazhagam,686891,444712,64.7,115361,25.9,1980
2593,Tonk,13,GEN,Rajasthan,Banwari Lal Bairwa,Indian National Congress (I),680969,350660,51.5,31202,8.9,1980
2594,Trichur,9,SC,Kerala,K. A. Rajan,Communist Party Of India (MARXIST),622311,387098,62.2,43151,11.1,1980
2595,Tripura East,2,ST,Tripura,Bajuban Riyan,Communist Party Of India (MARXIST),522218,414540,79.4,93906,22.7,1980
2596,Tripura West,1,GEN,Tripura,Ajoy Biswas,Communist Party Of India (MARXIST),535288,431189,80.6,55345,12.8,1980
2597,Trivandrum,20,GEN,Kerala,A. Neelalohithadasan Nadar,Indian National Congress (I),714687,453458,63.5,107057,23.6,1980
2598,Tumkur,8,GEN,Karnataka,K. Lakkappa,Indian National Congress (I),665831,451867,67.9,117061,25.9,1980
2599,Tura,2,ST,Meghalaya,Puron A. Sangma,Indian National Congress (I),225582,115575,51.2,69249,59.9,1980
2600,Udaipur,18,GEN,Rajasthan,Mohan Lal Sukhadia,Indian National Congress (I),729573,439726,60.3,51897,11.8,1980
2601,Udhampur,5,GEN,Jammu & Kashmir,Karan Singh,Indian National Congress (U),578770,338969,58.6,55429,16.4,1980
2602,Udupi,18,SC,Karnataka,Oscar Fernandes,Indian National Congress (I),605699,430824,71.1,159969,37.1,1980
2603,Ujjain,38,SC,Madhya Pradesh [1947 - 1999],Satyanarayan Jatiya,Janta Party,616131,369007,59.9,11326,3.1,1980
2604,Uluberia,25,GEN,West Bengal,Hannan Mollah,Communist Party Of India (MARXIST),738696,510579,69.1,139078,27.2,1980
2605,Unnao,22,GEN,Uttar Pradesh [1947 - 1999],Ziaur Rehman Ansari,Indian National Congress (I),677173,315733,46.6,34869,11.0,1980
2606,Vaishali,9,GEN,Bihar [1947 - 1999],Kishroi Sinha,Janta Party,746901,370480,49.6,3331,0.9,1980
2607,Vandavasi,9,GEN,Tamil Nadu,Pattuswamy D.,Indian National Congress (I),714275,468039,65.5,127154,27.2,1980
2608,Varanasi,52,GEN,Uttar Pradesh [1947 - 1999],Kamalapati,Indian National Congress (I),665915,357310,53.7,24735,6.9,1980
2609,Vellore,7,GEN,Tamil Nadu,Abdul Samad A.K.A.,Independent,707512,430318,60.8,79546,18.5,1980
2610,Vidisha,31,GEN,Madhya Pradesh [1947 - 1999],Pratapbhanu Krishnagopal,Indian National Congress (I),642322,360501,56.1,5080,1.4,1980
2611,Vijayawada,13,GEN,Andhra Pradesh,Vidya Chennupati,Indian National Congress (I),765506,528323,69.0,98702,18.7,1980
2612,Visakhapatnam,4,GEN,Andhra Pradesh,Appalaswamy Kommuru,Indian National Congress (I),723703,422972,58.5,34635,8.2,1980
2613,Vishnupur,36,GEN,West Bengal,Ajit Kumar Saha,Communist Party Of India (MARXIST),692722,527721,76.2,110200,20.9,1980
2614,Warangal,39,GEN,Andhra Pradesh,Md. Kamaloddin Ahmed,Indian National Congress (I),659014,460588,69.9,122042,26.5,1980
2615,Wardha,27,GEN,Maharashtra,Vasantrao Sathe,Indian National Congress (I),685760,444619,64.8,177509,39.9,1980
2616,Washim,20,ST,Maharashtra,Gulam Nabi Azad,Indian National Congress (I),620782,392774,63.3,151478,38.6,1980
2617,Yavatmal,28,GEN,Maharashtra,Patil Uttamrao Deorao,Indian National Congress (I),650317,403817,62.1,200180,49.6,1980
2618,Adilabad,35,GEN,Andhra Pradesh,C. Madhav Reddy,Telugu Desam,700294,444854,63.5,54558,12.3,1984
2619,Adoor,17,GEN,Kerala,K. K. Kunhambu,Indian National Congress,674208,510084,75.7,50972,10.0,1984
2620,Agra,73,GEN,Uttar Pradesh [1947 - 1999],Nihal Singh,Indian National Congress,639657,347677,54.4,39677,11.4,1984
2621,Ahmedabad,10,GEN,Gujarat,Haroobhai Mehta,Indian National Congress,766276,464021,60.6,33137,7.1,1984
2622,Ahmednagar,39,GEN,Maharashtra,Gadakh Yeshwantrao Kankarrao,Indian National Congress,771205,493400,64.0,100323,20.3,1984
2623,Ajmer,12,GEN,Rajasthan,Vishnu Kumar Modi,Indian National Congress,742253,439364,59.2,56694,12.9,1984
2624,Akbarpur,27,SC,Uttar Pradesh [1947 - 1999],Ram Piyare Suman,Indian National Congress,756377,443149,58.6,69621,15.7,1984
2625,Akola,19,GEN,Maharashtra,Madhusudan Atmaram Vairale,Indian National Congress,736060,524199,71.2,13810,2.6,1984
2626,Aligarh,76,GEN,Uttar Pradesh [1947 - 1999],Usha Rani,Indian National Congress,735424,405725,55.2,102231,25.2,1984
2627,Alipurduars,2,ST,West Bengal,Pijus Tirkey,Revolutionary Socialist Party,736742,557382,75.7,30182,5.4,1984
2628,Allahabad,56,GEN,Uttar Pradesh [1947 - 1999],Amitabh Bachchan,Indian National Congress,777652,444552,57.2,187795,42.2,1984
2629,Alleppey,15,GEN,Kerala,Vakkon Purushothaman,Indian National Congress,701138,589117,84.0,37764,6.4,1984
2630,Almora,3,GEN,Uttar Pradesh [1947 - 1999],Harish Chandra Singh,Indian National Congress,670370,311757,46.5,140332,45.0,1984
2631,Alwar,8,GEN,Rajasthan,Ram Singh Yadev,Indian National Congress,751298,420251,55.9,125531,29.9,1984
2632,Amalapuram,9,SC,Andhra Pradesh,Aithabathula Jogeswara Venkata Buthci Maheswara Rao,Telugu Desam,694686,527427,75.9,119731,22.7,1984
2633,Ambala,1,SC,Haryana,Ram Prakash,Indian National Congress,694840,485364,69.9,177352,36.5,1984
2634,Amethi,25,GEN,Uttar Pradesh [1947 - 1999],Rajiv Gandhi,Indian National Congress,740782,446289,60.3,314878,70.6,1984
2635,Amravati,21,GEN,Maharashtra,Choudhary Ushatai Prakash,Indian National Congress,702357,428343,61.0,121746,28.4,1984
2636,Amreli,7,GEN,Gujarat,Ravani Navinchandrabhai Parmananddas,Indian National Congress,642376,407128,63.4,37868,9.3,1984
2637,Amritsar,2,GEN,Punjab,Raghunandan Lal Bhatia,Indian National Congress,857357,533719,62.3,105064,19.7,1984
2638,Amroha,6,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Indian National Congress,702442,465335,66.3,17277,3.7,1984
2639,Anakapalli,6,GEN,Andhra Pradesh,Appalanarasimham P.,Telugu Desam,744527,505324,67.9,174816,34.6,1984
2640,Anand,20,GEN,Gujarat,Ishverbhai Khodabhai Chavada,Indian National Congress,726873,502507,69.1,75173,15.0,1984
2641,Anantapur,25,GEN,Andhra Pradesh,Devineni Narayana Swamy,Telugu Desam,798271,522936,65.5,108649,20.8,1984
2642,Anantnag,3,GEN,Jammu & Kashmir,Akbar Jahan Begum,Jammu & Kashmir National Conference,611518,428548,70.1,82010,19.1,1984
2643,Andaman & Nicobar Islands,1,GEN,Andaman & Nicobar Islands,Manoranjan Bhakta,Indian National Congress,115565,91093,78.8,19136,21.0,1984
2644,Aonla,11,GEN,Uttar Pradesh [1947 - 1999],Kalyan Singh Solanki,Indian National Congress,656877,326169,49.7,52823,16.2,1984
2645,Arakkonam,6,SC,Tamil Nadu,R. Jeevarathinam,Indian National Congress,757665,592913,78.3,60942,10.3,1984
2646,Arambagh,28,GEN,West Bengal,Anil Basu,Communist Party Of India (MARXIST),768645,659108,85.8,14160,2.1,1984
2647,Araria,22,SC,Bihar [1947 - 1999],Doomar Lal Baitha,Indian National Congress,791489,472148,59.7,198886,42.1,1984
2648,Arrah,36,GEN,Bihar [1947 - 1999],Bali Ram Bhagat,Indian National Congress,890008,432394,48.6,154922,35.8,1984
2649,Arunachal East,2,GEN,Arunachal Pradesh,Wangpha Lowang,Indian National Congress,135879,100234,73.8,19215,19.2,1984
2650,Arunachal West,1,GEN,Arunachal Pradesh,P.K.Thangon,Indian National Congress,183170,140528,76.7,461,0.3,1984
2651,Asansol,38,SC,West Bengal,Anada Gopal Mukherjee,Indian National Congress,893685,625065,69.9,86666,13.9,1984
2652,Aska,10,GEN,Orissa,Somnath Rath,Indian National Congress,768077,413689,53.9,118044,28.5,1984
2653,Aurangabad,40,GEN,Bihar [1947 - 1999],Satyendra Narain Singh,Indian National Congress,826531,486447,58.9,166035,34.1,1984
2654,Aurangabad,33,GEN,Maharashtra,Sahebrao P.Dongaonkar,Indian Congress (SOCIALIST),849481,499332,58.8,92419,18.5,1984
2655,Autonomous District,3,ST,Assam,Biren Singh Engti,Indian National Congress,330649,220485,66.7,14551,6.6,1984
2656,Azamgarh,45,GEN,Uttar Pradesh [1947 - 1999],Santosh Kumar Singh,Indian National Congress,760683,425385,55.9,2786,0.7,1984
2657,Badagara,3,GEN,Kerala,K. P. Unnikrishnan,Indian Congress (SOCIALIST),740431,583558,78.8,10979,1.9,1984
2658,Bagaha,1,SC,Bihar [1947 - 1999],Bhola Raut,Indian National Congress,708093,310166,43.8,165534,53.4,1984
2659,Bagalkot,27,GEN,Karnataka,Patil Hanmantagouda Bhimanagouda,Indian National Congress,728816,487671,66.9,10512,2.2,1984
2660,Baghpat,81,GEN,Uttar Pradesh [1947 - 1999],Charan Singh,Lok Dal,754811,479161,63.5,85674,17.9,1984
2661,Bahraich,31,GEN,Uttar Pradesh [1947 - 1999],Arif Mohammad Khan,Indian National Congress,762567,363296,47.6,101020,27.8,1984
2662,Balaghat,23,GEN,Madhya Pradesh [1947 - 1999],Nandkishore Sharma,Indian National Congress,635884,420107,66.1,68117,16.2,1984
2663,Balasore,2,ST,Orissa,Chintamani Jena,Indian National Congress,736899,494847,67.2,79185,16.0,1984
2664,Balia,19,GEN,Bihar [1947 - 1999],Chandra Bhanu Devi,Indian National Congress,769052,492389,64.0,123901,25.2,1984
2665,Ballia,43,GEN,Uttar Pradesh [1947 - 1999],Jagannath Chowdhari,Indian National Congress,795336,438137,55.1,53940,12.3,1984
2666,Balrampur,32,GEN,Uttar Pradesh [1947 - 1999],Deep Narain Van Mahanth,Indian National Congress,753870,408184,54.2,8656,2.1,1984
2667,Balurghat,6,GEN,West Bengal,Palas Barman,Revolutionary Socialist Party,768931,626120,81.4,22217,3.5,1984
2668,Banaskantha,14,GEN,Gujarat,B.K.Gadhvi,Indian National Congress,697543,399900,57.3,27283,6.8,1984
2669,Banda,59,GEN,Uttar Pradesh [1947 - 1999],Bhism Deo Dubey,Indian National Congress,708382,387705,54.7,57499,14.8,1984
2670,Bangalore North,12,GEN,Karnataka,C. K. Jaffer Sharief,Indian National Congress,869205,518766,59.7,41546,8.0,1984
2671,Bangalore South,13,GEN,Karnataka,V. S. Krishna Iyer,Janta Party,987244,563908,57.1,12732,2.3,1984
2672,Banka,29,GEN,Bihar [1947 - 1999],Manorma Singh,Indian National Congress,770286,487005,63.2,151972,31.2,1984
2673,Bankura,35,GEN,West Bengal,Acharia Basudeb,Communist Party Of India (MARXIST),771050,567298,73.6,24216,4.3,1984
2674,Bansgaon,37,SC,Uttar Pradesh [1947 - 1999],Mahavir Prasad,Indian National Congress,771602,379185,49.1,174229,45.9,1984
2675,Banswara,16,GEN,Rajasthan,Prabhulal Rawat,Indian National Congress,733798,410554,56.0,121125,29.5,1984
2676,Bapatla,16,GEN,Andhra Pradesh,Chimata Sambu,Telugu Desam,817197,566622,69.3,34420,6.1,1984
2677,Bara Banki,29,SC,Uttar Pradesh [1947 - 1999],Kamla Prasad,Indian National Congress,692717,387428,55.9,94661,24.4,1984
2678,Baramati,43,GEN,Maharashtra,Pawar Sharadchandra Govindrao,Indian Congress (SOCIALIST),859626,608149,70.8,140532,23.1,1984
2679,Baramulla,1,GEN,Jammu & Kashmir,Saif -Ud- Din Soz,Jammu & Kashmir National Conference,571205,348963,61.1,140419,40.2,1984
2680,Barasat,13,SC,West Bengal,Tarun Kanti Ghosh,Indian National Congress,839673,703865,83.8,12612,1.8,1984
2681,Bareilly,12,GEN,Uttar Pradesh [1947 - 1999],Abida Ahmad,Indian National Congress,646148,349085,54.0,55908,16.0,1984
2682,Barh,18,GEN,Bihar [1947 - 1999],Prakash Chandra,Indian National Congress,853413,610745,71.6,222736,36.5,1984
2683,Barmer,23,GEN,Rajasthan,Virdhi Chand,Indian National Congress,910267,498846,54.8,106713,21.4,1984
2684,Baroda,22,GEN,Gujarat,Gaekwad Ranjitsinh Pratapshinh,Indian National Congress,860270,539616,62.7,152552,28.3,1984
2685,Barpeta,6,GEN,Assam,Ataur Rahman,Independent,731285,651157,89.0,56296,8.6,1984
2686,Barrackpore,19,SC,West Bengal,Debi Ghosal,Indian National Congress,778226,617101,79.3,53669,8.7,1984
2687,Basirhat,14,SC,West Bengal,Indrajit Gupta,Communist Party Of India,754765,617980,81.9,39043,6.3,1984
2688,Bastar,20,ST,Madhya Pradesh [1947 - 1999],Mankuram Sodi,Indian National Congress,590530,238843,40.5,76310,31.9,1984
2689,Basti,34,SC,Uttar Pradesh [1947 - 1999],Ram Awadh Prasad,Indian National Congress,753818,346178,45.9,154602,44.7,1984
2690,Bayana,10,SC,Rajasthan,Lala Ram Ken,Indian National Congress,739563,329388,44.5,78402,23.8,1984
2691,Beed,34,GEN,Maharashtra,Kshirsagar Kehsarbai Sonajirao,Indian National Congress,866071,473212,54.6,110362,23.3,1984
2692,Begusarai,33,GEN,Bihar [1947 - 1999],Krishna Shahi,Indian National Congress,834398,535039,64.1,281636,52.6,1984
2693,Belgaum,25,GEN,Karnataka,Sidnal Shanmukhappa Basappa,Indian National Congress,771731,487773,63.2,35540,7.3,1984
2694,Bellary,5,SC,Karnataka,Basavarajeswari,Indian National Congress,768267,510244,66.4,72286,14.2,1984
2695,Berhampore,10,GEN,West Bengal,Atish Chandra Sinha,Indian National Congress,867180,663678,76.5,3047,0.5,1984
2696,Berhampur,11,GEN,Orissa,R.Jagannath Rao,Indian National Congress,710421,358221,50.4,144860,40.4,1984
2697,Bettiah,2,GEN,Bihar [1947 - 1999],Manoj Kumar Pande,Indian National Congress,748524,406295,54.3,135268,33.3,1984
2698,Betul,28,GEN,Madhya Pradesh [1947 - 1999],Aslam Sherkhan,Indian National Congress,613591,330848,53.9,37950,11.5,1984
2699,Bhadrachalam,5,ST,Andhra Pradesh,Sode Ramaiah,Communist Party Of India,735992,402058,54.6,24640,6.1,1984
2700,Bhadrak,3,GEN,Orissa,Ananta Prasad Sethi,Indian National Congress,736023,471134,64.0,67419,14.3,1984
2701,Bhagalpur,30,GEN,Bihar [1947 - 1999],Bhagwat Jha Azad,Indian National Congress,851928,571619,67.1,30485,5.3,1984
2702,Bhandara,24,GEN,Maharashtra,Keshaorao Atmaramji Pardhi,Indian National Congress,709457,484438,68.3,121704,25.1,1984
2703,Bharatpur,9,SC,Rajasthan,K.Natwar Singh,Indian National Congress,715907,455961,63.7,79309,17.4,1984
2704,Bhatinda,11,GEN,Punjab,Teja Singh Dardi,Shiromani Akali Dal,842005,592839,70.4,83384,14.1,1984
2705,Bhavnagar,8,SC,Gujarat,Gohil Gigabhai Bhavubhai,Indian National Congress,694984,363794,52.4,10995,3.0,1984
2706,Bhilwara,20,ST,Rajasthan,Girdhari Lal Vyas,Indian National Congress,779185,417597,53.6,151636,36.3,1984
2707,Bhind,2,GEN,Madhya Pradesh [1947 - 1999],Krishna Singh,Indian National Congress,771477,415884,53.9,87403,21.0,1984
2708,Bhiwani,8,GEN,Haryana,Bansi Lal,Indian National Congress,782290,535634,68.5,187077,34.9,1984
2709,Bhopal,30,GEN,Madhya Pradesh [1947 - 1999],K. N. Pradhan,Indian National Congress,797498,400419,50.2,128664,32.1,1984
2710,Bhubaneswar,9,GEN,Orissa,Chintamoni Panigrahi,Indian National Congress,732752,404281,55.2,89854,22.2,1984
2711,Bidar,1,GEN,Karnataka,Nasing Suryavansi,Indian National Congress,769422,346592,45.1,59615,17.2,1984
2712,Bijapur,28,SC,Karnataka,Guraddi Shivashankareppa Mallappa,Janta Party,707905,437208,61.8,2419,0.6,1984
