,Pc_name,no,type,state,candidate_name,party,electors,votes,Turnout%,margin,margin%,year
357,Osmanabad,265,GEN,Maharashtra,Tulsiram Abaji Patil,Indian National Congress,432197,248876,57.6,12374,5.0,1962
358,Outer Delhi,486,GEN,Delhi,Braham Prakash,Indian National Congress,331600,221042,66.7,21553,9.8,1962
359,Outer Manipur,492,ST,Manipur,Rishang,Socialist,192285,119402,62.1,42,0.0,1962
360,Padapalli,38,SC,Andhra Pradesh,M.R. Krishna,Indian National Congress,412742,225780,54.7,84021,37.2,1962
361,Palamau,108,GEN,Bihar [1947 - 1999],Shashank Manjari,Swatantra,386107,146465,37.9,44609,30.5,1962
362,Palghat,136,SC,Kerala,Kunhan Patinjara Veetilpadi,Communist Party Of India,417640,211136,50.6,72335,34.3,1962
363,Pali,353,GEN,Rajasthan,Jaswant Raj Mehta,Indian National Congress,483809,230975,47.7,19259,8.3,1962
364,Panchmahals,124,GEN,Gujarat,Dahyabhai Jivanji Naik,Indian National Congress,408271,199777,48.9,16233,8.1,1962
365,Pandharpur,244,SC,Maharashtra,Tayappa Hari Sonavane,Indian National Congress,446047,238807,53.5,45332,19.0,1962
366,Parbhani,267,GEN,Maharashtra,Shivajirao Shankarrao Deshmukh,Indian National Congress,432162,187930,43.5,28505,15.2,1962
367,Parvathipuram,2,ST,Andhra Pradesh,Biddika Satyanarayana,Indian National Congress,420816,236178,56.1,39372,16.7,1962
368,Patan,119,GEN,Gujarat,Purushottamdas Ranchhoddas Patel,Indian National Congress,389956,228791,58.7,68013,29.7,1962
369,Patiala,336,GEN,Punjab,Hukum Singh,Indian National Congress,524087,345275,65.9,10086,2.9,1962
370,Patna,90,GEN,Bihar [1947 - 1999],Ramdulari Devi,Indian National Congress,400456,232856,58.2,25082,10.8,1962
371,Perambalur,213,GEN,Madras,Era Sezhiyan,Dravida Munetra Kazhagam,473412,348885,73.7,55390,15.9,1962
372,Periyakulam,207,GEN,Madras,Malaichamy Thevar,Indian National Congress,444152,311023,70.0,2899,0.9,1962
373,Phillaur,330,SC,Punjab,Sadhu Ram,Indian National Congress,487433,322682,66.2,9619,3.0,1962
374,Phulbani,300,ST,Orissa,Rajendra Kohor,Ganatantra Parishad,399384,55598,13.9,3275,5.9,1962
375,Phulpur,415,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Nehru,Indian National Congress,409292,201823,49.3,64571,32.0,1962
376,Pilibhit,371,GEN,Uttar Pradesh [1947 - 1999],Mohan Swaroop,Praja Socialist Party,421503,211738,50.2,4432,2.1,1962
377,Pollachi,206,GEN,Madras,C. Subramaniam,Indian National Congress,448744,326288,72.7,100097,30.7,1962
378,Poona,233,GEN,Maharashtra,Shankarrao Shantaram More,Indian National Congress,434811,278463,64.0,48406,17.4,1962
379,Poonani,137,GEN,Kerala,Imbichi Bava Ezhukudikkal,Communist Party Of India,411076,263593,64.1,57799,21.9,1962
380,Pratapgarh,383,GEN,Uttar Pradesh [1947 - 1999],Ajit Pratap Singh,Jan Sangh,394871,208936,52.9,23704,11.3,1962
381,Pudukkottai,214,GEN,Madras,R. Umanath,Communist Party Of India,446368,309446,69.3,30218,9.8,1962
